Subcorpus	File_level	File_series	VDE	Collocate	Collocate_lemma	USAS	Concordance1	Concordance2	Concordance3
BNCspoken	filename#292		produce	stalls	stall	Materials & Equipment		make	
Youth_Fiction	file_285		produce	stand	stand	Materials & Equipment		made	
spoken	E	Hi there	produce	tank	tank	Materials & Equipment		make	
spoken	E	Hi there	produce	tank	tank	Materials & Equipment		make	
BNCspoken	filename#787		produce	thing	thing	Materials & Equipment		make	
BNCspoken	filename#902		produce	thread	thread	Language & Communication		making	
BNCspoken	filename#1177		produce	tiles	tile	Materials & Equipment		make	
spoken	E	Join the Team	produce	tissue paper	tissue	Materials & Equipment		made	
spoken	E	Join the Team	produce	tissues	tissue	Materials & Equipment		made	
Youth_Fiction	file_62		produce	traps	trap	Materials & Equipment		made	
BNCspoken	filename#210		produce	triangle	triangle	General & abstract terms		make	
BNCspoken	filename#347		produce	trough	trough	Materials & Equipment		made	
TxBnar	C	New Green Line	produce	wood	wood	Materials & Equipment		made	
BNCspoken	filename#294		produce	bike	bike	Industry & Technology		made	
TxBnar	D	Achievers	produce	boat	boat	Industry & Technology		made	
spoken	D	Hi there	produce	cities	city	Buildings & House		made	
BNCspoken	filename#1031		produce	drive	drive	Industry & Technology		make	
Youth_Fiction	file_208		produce	movements	movement	Sports, Entertainment & Travel		made	
Youth_Fiction	file_288		produce	path	path	Sports, Entertainment & Travel		made	
Youth_Fiction	file_279		produce	path	path	Buildings & House		made	
spoken	A	Solutions	produce	road	road	Buildings & House		made	
Youth_Fiction	file_73		produce	settlements	settlement	Buildings & House		made	
spoken	B	Access	produce	story	story	Language & Communication		make	
BNCspoken	filename#756		produce	tagine	tagine	Food		make	
spoken	E	Hi there	produce	tank	tank	Materials & Equipment		make	
TxBnar	E	Access	produce	throws	throw	Sports, Entertainment & Travel		makes	
Youth_Fiction	file_288		produce	tracks	track	Sports, Entertainment & Travel		made	
spoken	B	English in Mind	produce	tyres	tyre	Materials & Equipment		make	
spoken	B	Solutions	produce	cakes and biscuits	cake and biscuit	Food		made	
TxBnar	B	Achievers	produce	film	film	Sports, Entertainment & Travel		making	
spoken	D	Access	produce	shot	shot	Sports, Entertainment & Travel		make	
BNCspoken	filename#671		produce	album	album	Sports, Entertainment & Travel		make	
spoken	C	English in Mind	produce	band	band	Sports, Entertainment & Travel		make	
spoken	C	English in Mind	produce	CD	CD	Sports, Entertainment & Travel		make	
Youth_Fiction	file_8		produce	clip	clip	Sports, Entertainment & Travel		made	
BNCspoken	filename#26		produce	courses	course	Sports, Entertainment & Travel		make	
TxBnar	B	English in Mind	produce	documentary	documentary	Sports, Entertainment & Travel		made	
TxBnar	B	Achievers	produce	film	film	Sports, Entertainment & Travel		making	
TxBnar	A	Access	produce	film	film	Sports, Entertainment & Travel		made	
TxBnar	B	Access	produce	film	film	Sports, Entertainment & Travel		make	
TxBnar	B	Access	produce	film	film	Sports, Entertainment & Travel		make	
spoken	C	Solutions	produce	film	film	Sports, Entertainment & Travel		make	
spoken	E	Join the Team	produce	film	film	Sports, Entertainment & Travel		made	
spoken	C	Achievers	produce	film	film	Sports, Entertainment & Travel		making	
spoken	A	Access	produce	film	film	Sports, Entertainment & Travel		make	
spoken	C	Achievers	produce	film	film	Sports, Entertainment & Travel		making	
spoken	A	Access	produce	film	film	Sports, Entertainment & Travel		make	
spoken	D	New Green Line	produce	film	film	Sports, Entertainment & Travel		making	
spoken	B	Solutions	produce	film	film	Sports, Entertainment & Travel		made	
spoken	C	Solutions	produce	film	film	Sports, Entertainment & Travel		made	
spoken	B	Solutions	produce	film	film	Sports, Entertainment & Travel		made	
spoken	C	Solutions	produce	film	film	Sports, Entertainment & Travel		making	
spoken	D	Solutions	produce	film	film	Sports, Entertainment & Travel		make	
spoken	A	Access	produce	film	film	Sports, Entertainment & Travel		make	
spoken	A	Access	produce	film	film	Sports, Entertainment & Travel		make	
BNCspoken	filename#281		produce	film	film	Sports, Entertainment & Travel		make	
BNCspoken	filename#872		produce	film	film	Sports, Entertainment & Travel		made	
BNCspoken	filename#1078		produce	film	film	Sports, Entertainment & Travel		made	
spoken	D	New Green Line	produce	film project	project	General & abstract terms		made	
TxBnar	E	New Green Line	produce	films	film	Sports, Entertainment & Travel		made	
TxBnar	B	Achievers	produce	films	film	Sports, Entertainment & Travel		makes	
spoken	B	Hi there	produce	films	film	Sports, Entertainment & Travel		making	
spoken	A	Access	produce	films	film	Sports, Entertainment & Travel		make	
spoken	A	Access	produce	films	film	Sports, Entertainment & Travel		make	
spoken	C	Solutions	produce	films	film	Sports, Entertainment & Travel		made	
spoken	D	Solutions	produce	films	film	Sports, Entertainment & Travel		make	
spoken	C	Achievers	produce	films	film	Sports, Entertainment & Travel		made	
BNCspoken	filename#336		produce	films	film	Sports, Entertainment & Travel		makes	
BNCspoken	filename#413		produce	game	game	Sports, Entertainment & Travel		made	
BNCspoken	filename#14		produce	Gamemaker’s	Gamemaker	Sports, Entertainment & Travel		made	
TxBnar	D	New Green Line	produce	hula hoops	hula hoop	Sports, Entertainment & Travel		makes	
BNCspoken	filename#1202		produce	Lego	Lego	Sports, Entertainment & Travel		make	
BNCspoken	filename#338		produce	Lego models	Lego	Sports, Entertainment & Travel		made	
spoken	E	Hi there	produce	mixtape	mixtape	Sports, Entertainment & Travel		make	
spoken	C	Join the Team	produce	movie	movie	Sports, Entertainment & Travel		made	
spoken	B	New Green Line	produce	movies	movie	Sports, Entertainment & Travel		make	
spoken	C	Solutions	produce	movies	movie	Sports, Entertainment & Travel		made	
TxBnar	C	Access	produce	music	music	Sports, Entertainment & Travel		make	
TxBnar	D	New Green Line	produce	music	music	Sports, Entertainment & Travel		make	
spoken	A	New Green Line	produce	music	music	Sports, Entertainment & Travel		make	
Youth_Fiction	file_165		produce	play	play	Sports, Entertainment & Travel		making	
spoken	B	Access	produce	puppet	puppet	Sports, Entertainment & Travel		made	
spoken	B	Access	produce	puppets	puppet	Sports, Entertainment & Travel		make	
spoken	B	Access	produce	puppets	puppet	Sports, Entertainment & Travel		make	
spoken	C	English in Mind	produce	record	record	Sports, Entertainment & Travel		make	
spoken	C	English in Mind	produce	record	record	Sports, Entertainment & Travel		make	
spoken	C	Access	produce	rhythms	rhythm	Sports, Entertainment & Travel		make	
BNCspoken	filename#514		produce	snowman	snowman	Sports, Entertainment & Travel		make	
Youth_Fiction	file_272		produce	songs	song	Sports, Entertainment & Travel		made	
spoken	C	Solutions	produce	songs	song	Sports, Entertainment & Travel		made	
spoken	B	Solutions	produce	stereo	stereo	Sports, Entertainment & Travel		made	
BNCspoken	filename#877		produce	tracks	track	Sports, Entertainment & Travel		make	
TxBnar	E	Access	produce	TV series	TV series	Sports, Entertainment & Travel		made	
TxBnar	A	Access	produce	video	video	Sports, Entertainment & Travel		make	
spoken	A	Access	produce	video	video	Sports, Entertainment & Travel		make	
spoken	A	Access	produce	video	video	Sports, Entertainment & Travel		make	
spoken	D	Solutions	produce	video	video	Sports, Entertainment & Travel		made	
BNCspoken	filename#197		produce	video	video	Sports, Entertainment & Travel		make	
spoken	D	Solutions	produce	videos	video	Sports, Entertainment & Travel		making	
spoken	A	Achievers	produce	canals	canal	World, Life & Body		made	
spoken	A	Achievers	produce	canals	canal	World, Life & Body		made	
spoken	C	Access	produce	cliffs	cliff	World, Life & Body		made	
TxBnar	D	Green Line	produce	for	world	World, Life & Body		made	
spoken	C	New Green Line	produce	globe	globe	World, Life & Body		made	
TxBnar	A	Piece of cake	produce	lake	lake	World, Life & Body		made	
spoken	E	Hi there	produce	lake	lake	World, Life & Body		made	
Youth_Fiction	file_68		produce	light	light	World, Life & Body		made	
BNCspoken	filename#1167		produce	moon	moon	World, Life & Body		made	
Youth_Fiction	file_13		produce	limpets	island	World, Life & Body		made	
Youth_Fiction	file_121		produce	snow	snow	World, Life & Body		make	
Youth_Fiction	file_241		produce	snowflakes	snowflake	World, Life & Body		made	
BNCspoken	filename#1182		produce	well	well	World, Life & Body		made	
Youth_Fiction	file_75		produce	world	world	World, Life & Body		Make	
